,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204
danielmiessler&SecLists,177,19,19,4611,9219,24,82,41,15,32,38,8,9,9,12,55,756,26,442,18,55,43,129,2,28,68,40,6,80,97,20,147,31,4,67,30,11,47,,
