,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204
rails&rails,42037,12750,41039,28600,8628,10498,13452,6555,12197,11160,5303,156009,10145,11074,55474,11534,18964,13320,6291,10364,6598,22688,17454,14518,63612,19261,9829,27253,9974,18401,17883,25789,69677,9490,17079,16095,9010,15833,10920,9514
