,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204
tensorflow&models,22.91,17.94,125.04,108.83,27.53,20.78,3.5,1.0,2.62,13.26,6.63,78.2,130.46,9.17,59.08,23.55,18.06,3.08,0.04,232.1,59.8,1.28,0.07,0.09,0.42,28.98,17.4,52.67,122.82,15.63,76.23,106.11,14.69,259.56,17.16,0.26,162.17,115.89,67.94,0.0
